prolificId,order,text,wordCount,createdAt
p60,4,Be seen. Be heard,4,13:18.4
p60,5,Always a step ahead,4,13:18.4
p60,6,Don't drop. Keep going,4,13:18.4
p61,1,Bringing people together,3,11:35.9
p61,2,Everyone is talking about it,5,11:35.9
p61,3,All the power in your hands,6,11:35.9
p61,4,An exceptional experience,3,11:35.9
p61,5,Does everything,2,11:35.9
p61,6,Not your ordinary phone,4,11:35.9
p61,7,The smartest choice you could make,6,11:35.9
p61,8,Sensational,1,11:35.9
p62,1,Call immediately,2,11:26.6
p62,2,With you wherever you want,5,11:26.6
p62,3,Your trusted phone,3,11:26.6
p62,4,My faithful companion,3,11:26.6
p62,5,Your friend with you,4,11:26.6
p62,6,You and me,3,11:26.6
p62,7,I do it for you,5,11:26.6
p62,8,Smart wherever you go,4,11:26.6
p63,1,Power for your hand each day,6,46:23.9
p63,2,"Faster Phone, Better life for you",6,46:23.9
p63,3,"What you need, When you need.",6,46:23.9
p64,1,Lightspeed is under statement,4,02:32.0
p64,2,Sync with your Family,4,02:32.0
p64,3,Connect with your Family,4,02:32.0
p64,4,New phone new You,4,02:32.0
p64,5,Art in your hand,4,02:32.0
p64,6,Smart starts from your hand,5,02:32.0
p64,7,Idea in your hand,4,02:32.0
p64,8,Future is in your grasp,5,02:32.0
p64,9,AI your best Friend,4,02:32.0
p65,1,AI in your hand,4,23:39.0
p65,2,smart me smart phone,4,23:39.0
p65,3,speed in your hands,4,23:39.0
p65,4,phone for aliens,3,23:39.0
p65,5,phone my new companion,4,23:39.0
p66,1,Speed and style,3,04:01.5
p66,2,One flip and your phone goes,6,04:01.5
p66,3,Flipping out over here!,4,04:01.5
p66,4,Your new SMARTERphone,3,04:01.5
p66,5,Your new everything device,4,04:01.5
p66,6,The big brain smartphone,4,04:01.5
p67,1,"Power in your pocket, always.",5,04:10.8
p67,2,Feel the future in your hands.,6,04:10.8
p67,3,Built to outperform your expectations.,5,04:10.8
p67,4,Make every second smarter.,4,04:10.8
p67,5,Where innovation fits your palm.,5,04:10.8
p67,6,"Stay ahead, stay connected.",4,04:10.8
p67,7,Make every second smarter.,4,04:10.8
p67,8,"One touch, infinite possibilities.",4,04:10.8
p68,1,"See more, Do more, Be more.",6,13:35.4
p68,2,"Next level speed, Zero limits.",5,13:35.4
p68,3,The future in your hand.,5,13:35.4
p68,4,Built for what's next.,4,13:35.4
p68,5,"Think faster, Do more.",4,13:35.4
p68,6,Innovation that fits your life.,5,13:35.4
p68,7,Capture more. Miss nothing.,4,13:35.4
p68,8,Effortless power in your pocket.,5,13:35.4
p68,9,Where style meets intelligence.,4,13:35.4
p68,10,Make every moment smarter.,4,13:35.4
p68,11,Power your everyday brilliance.,4,13:35.4
p68,12,Designed for your next moment.,5,13:35.4
p69,1,Power in your pocket,4,05:31.5
p69,2,"More signal, less compromises",4,05:31.5
p69,3,Innovation that you can hold,5,05:31.5
p69,4,"Charge less, do more",4,05:31.5
p69,5,Your phone just got smarter,5,05:31.5
p69,6,"Unlock to amaze, instantly",4,05:31.5
p69,7,Tap into the future,4,05:31.5
p69,8,Built for non-stop scrolling,4,05:31.5
p69,9,"Swipe faster & smarter, live better",6,05:31.5
p69,10,"Capture life, not photos",4,05:31.5
p69,11,"Charge less, do more",4,05:31.5
p70,1,Touch your future,3,11:26.0
p70,2,Upgrade your life,3,11:26.0
p70,3,Enter your digital world,4,11:26.0
p70,4,Your smart companion,3,11:26.0
p70,5,Elevate your life experience,4,11:26.0
p70,6,Expand your imagination,3,11:26.0
p70,7,Optimize your thoughts,3,11:26.0
p70,8,Redefine your world,3,11:26.0
p71,1,Excellence at your fingertips!,4,01:06.8
p71,2,Information and fun on demand.,5,01:06.8
p71,3,Best phone ever!,3,01:06.8
p71,4,The biggest helper in your life.,6,01:06.8
p71,5,The best technology yet.,4,01:06.8
p71,6,The world is your oyster!,5,01:06.8
p72,1,"New phone, new you.",4,01:18.4
p72,2,"I'm me, you're you, iPhone?",5,01:18.4
p72,3,You're not getting any younger.,5,01:18.4
p72,4,"Be bold, upgrade today.",4,01:18.4
p72,5,Everyone could use something smarter.,5,01:18.4
p72,6,Everyone else is doing it.,5,01:18.4
p72,7,"Don't be left out, upgrade today.",6,01:18.4
p72,8,We both know you deserve it.,6,01:18.4
p72,9,"Treat yourself, who else will?",5,01:18.4
p72,10,It pays to be smart.,5,01:18.4
p72,11,"Make life easier, make life smart.",6,01:18.4
p72,12,Time saved is time gained.,5,01:18.4
p73,1,Make Smart Connections,3,05:39.8
p73,2,"Smart Phone, Smart User",4,05:39.8
p73,3,Elevating Social Connectivity,3,05:39.8
p73,4,Connection is One Click Away,5,05:39.8
p73,5,Limitless Communication,2,05:39.8
p74,1,Pick Up The Phone!,4,11:45.9
p74,2,Your Daily Companion,3,11:45.9
p74,3,"There When You Need It, Guaranteed",6,11:45.9
p75,1,Power in your pocket,4,09:09.0
p75,2,Future fits in your hand,5,09:09.0
p75,3,Think faster. Do more,4,09:09.0
p75,4,Innovation you can feel,4,09:09.0
p75,5,Beyond smart. Truly brilliant,4,09:09.0
p75,6,"Your world, one tao away",5,09:09.0
p75,7,Capture like. instantly better,4,09:09.0
p75,8,Speed meets sleek design,4,09:09.0
p76,1,The world at your fingertips,5,09:11.3
p76,2,"Talk, text, transform",3,09:11.3
p76,3,Always connected,2,09:11.3
p77,1,The world in your palm,5,23:13.1
p77,2,Join Team Lightning,3,23:13.1
p77,3,Ludicrous Speed,2,23:13.1
p77,4,"Sleek design, Lightspeed connectivity",4,23:13.1
p78,1,The future of smartphone technology,5,03:46.3
p78,2,"Innovation, Precision, Luxury",3,03:46.3
p78,3,A new world in your pocket,6,03:46.3
p78,4,Bringing the future to you,5,03:46.3
p78,5,The next step in connection,5,03:46.3
p78,6,Connecting you to the world around,6,03:46.3
p78,7,Convenience and power,3,03:46.3
p79,1,Today's New Adventure,3,06:34.3
p79,2,Smart Beyond Limits,3,06:34.3
p79,3,Power In Your Hands,4,06:34.3
p79,4,A New Wave In Your Hands,6,06:34.3
p79,5,Today's New Experience,3,06:34.3
p79,6,A New Way To Explore,5,06:34.3
p79,7,Everybody Wants One,3,06:34.3
p79,8,A Sunshine Is Happening,4,06:34.3
p79,9,Dream My Way,3,06:34.3
p79,10,Experience Is Here,3,06:34.3
p80,1,"Smarter Performance, simpler everyday life",5,04:10.3
p80,2,Power that keeps up with you,6,04:10.3
p80,3,upgrade everything without the extra effort,6,04:10.3
p80,4,"Designed for speed, built for you",6,04:10.3
p80,5,"Next leveled power, in your pocket",6,04:10.3
p81,1,"Fast, intelligent, and sleek",4,29:36.0
p81,2,Unharness the world,3,29:36.0
p81,3,Grasp the future,3,29:36.0
p81,4,Tomorrow is today,3,29:36.0
p81,5,Never look back,3,29:36.0
p81,6,Computer in your pocket,4,29:36.0
p82,1,"Your screen, your call",4,26:49.0
p82,2,Can't stop this call,4,26:49.0
p82,3,Everything in one,3,26:49.0
